"","lemma","n"
"1","'",6040
"2","''",55
"3","''Baw",1
"4","'-",26
"5","'-arna",1
"6","'-BËg'",1
"7","'-bi",4
"8","'-bi'",1
"9","'-bie",2
"10","'-Biff'",1
"11","'-co",2
"12","'-co'",1
"13","'-coe",1
"14","'-Disiz",1
"15","'-f",1
"16","'-five",1
"17","'-ien",1
"18","'-le",2
"19","'-lemo",3
"20","'-lemo3",1
"21","'-m·e",2
"22","'-monÈ-moner",1
"23","'-moue",1
"24","'-oph",1
"25","'-p",2
"26","'-po",1
"27","'-po'",2
"28","'-ro",1
"29","'-skun",1
"30","'-tch",1
"31","'-tche",1
"32","'-ThaÔ",1
"33","'-to",1
"34","'-vo",2
"35","'""",2
"36","')",11
"37","',",9
"38","'.",94
"39","'18",1
"40","'an",2
"41","'B.",1
"42","'calader",1
"43","'chut",1
"44","'compense",1
"45","'constance",1
"46","'couvert",1
"47","'croyable",1
"48","'de",1
"49","'e",1
"50","'E",1
"51","'il",1
"52","'j'Ítre",1
"53","'j'se",1
"54","'Justement",1
"55","'K.",2
"56","'l",1
"57","'lang",1
"58","'linir",1
"59","'ll",7
"60","'nant",1
"61","'neg",1
"62","'ner",5
"63","'on",1
"64","'Quatre",7
"65","'rure",1
"66","'s",2
"67","'s:",1
"68","'se",1
"69","'sieur",1
"70","'sommer",1
"71","'sser",1
"72","'ssure",1
"73","'t",2
"74","'ta",1
"75","'tal",2
"76","'tament",2
"77","'tate",1
"78","'te",2
"79","'Til",1
"80","'V",3
"81","'V.",6
"82","'y",2
"83","-",1228
"84","-'",9
"85","--",40
"86","---",2
"87","-""",2
"88","-(",4
"89","-,",2
"90","-.",6
"91","-...",3
"92","-<U+0442><U+043E>",4
"93","->",1
"94","-1",3
"95","-2",2
"96","-22h",1
"97","-3",1
"98","-6",2
"99","-7",1
"100","-a",81
"101","-a-",3
"102","-‡",3
"103","-¿",1
"104","-a-a",1
"105","-a-a-a-allÙ",1
"106","-a-a-allÙ",1
"107","-a-a-allÙ.",1
"108","-A-D-M-A-X",1
"109","-a-r",1
"110","-A-T",1
"111","-‡-v",4
"112","-ah",26
"113","-ah.",1
"114","-al",15
"115","-An",1
"116","-ar",55
"117","-at'",1
"118","-av",1
"119","-b",4
"120","-B",1
"121","-B-A.",4
"122","-b!",2
"123","-b.",1
"124","-B.",4
"125","-ba",4
"126","-Ba",1
"127","-b‚",3
"128","-bas",3
"129","-bata-bata-bater",3
"130","-bÈ",5
"131","-BÈ",3
"132","-bÍ",1
"133","-ber",6
"134","-bi",15
"135","-bo",3
"136","-Bor",1
"137","-bota-bota-bota",3
"138","-boy",1
"139","-by",2
"140","-c",10
"141","-Á",4
"142","-c'est",1
"143","-c'que",1
"144","-c'te",1
"145","-c'tre",13
"146","-Á-cer",1
"147","-cí",7
"148","-ca",14
"149","-Áa",1
"150","-cament",3
"151","-ce",155
"152","-ce?",1
"153","-cer",3
"154","-ch",4
"155","-che",2
"156","-cheval",1
"157","-ci",2
"158","-co",3
"159","-cúur",1
"160","-Col",1
"161","-couter",3
"162","-d",17
"163","-d'a",2
"164","-d'l‡5",1
"165","-d-",1
"166","-D",1
"167","-d'illÈgal",1
"168","-d-,",1
"169","-d-y",1
"170","-da",6
"171","-dÈ",6
"172","-der",70
"173","-di",5
"174","-do",1
"175","-Donc",1
"176","-dy",1
"177","-e",4
"178","-E",1
"179","-È",6
"180","-e-r",1
"181","-…-Y.",1
"182","-E.",2
"183","-eal",1
"184","-eal-eal",1
"185","-eau",1
"186","-eh",136
"187","-ej",1
"188","-ele",1
"189","-elle1",1
"190","-em",3
"191","-en",4
"192","-end",1
"193","-er",35
"194","-Ít",10
"195","-ex",1
"196","-f",1
"197","-fa",2
"198","-fe",3
"199","-fer",3
"200","-fie-el",1
"201","-fre",4
"202","-fu",15
"203","-G",2
"204","-ga",4
"205","-g‚",1
"206","-ger",2
"207","-gi",2
"208","-ha",7
"209","-Haut",1
"210","-ho",2
"211","-hÙ",43
"212","-ho.",1
"213","-i",10
"214","-I'",1
"215","-i-È",4
"216","-i-er",15
"217","-i-i?",2
"218","-i-i?.",3
"219","-iÁ",1
"220","-ih",1
"221","-ik",4
"222","-il",14
"223","-ill",2
"224","-ill-ill",1
"225","-ils",2
"226","-imp",1
"227","-in",1
"228","-In",1
"229","-it",6
"230","-ium",3
"231","-j",14
"232","-J",1
"233","-j'tort",1
"234","-jack",1
"235","-jau",3
"236","-je",24
"237","-jer",4
"238","-jour",1
"239","-jui",1
"240","-K",2
"241","-K-K",2
"242","-l",38
"243","-L",1
"244","-l'ar",1
"245","-l'au",1
"246","-l'o",1
"247","-la",44
"248","-La",6
"249","-l‡",4
"250","-l‚",13
"251","-le",19
"252","-LÈ",2
"253","-lË",6
"254","-ler",66
"255","-li",1
"256","-limenter",1
"257","-loi",3
"258","-m",45
"259","-M-L",1
"260","-M-O.",1
"261","-ma",10
"262","-Ma",3
"263","-man",3
"264","-Man",1
"265","-mar",5
"266","-mard",4
"267","-me",16
"268","-mÈ",1
"269","-mË",1
"270","-mer",95
"271","-mi",5
"272","-mo",6
"273","-moi",35
"274","-mor",10
"275","-moue",2
"276","-mouvoir",2
"277","-mu",1
"278","-my",36
"279","-n",1
"280","-n'",1
"281","-N",1
"282","-N.",1
"283","-na",4
"284","-Na",1
"285","-na-na",5
"286","-nÈ",3
"287","-ner",8
"288","-ni",2
"289","-nie",1
"290","-No",1
"291","-noi",4
"292","-o",45
"293","-o-ow",2
"294","-o.",5
"295","-of",1
"296","-oh",174
"297","-oh-oh-oh-oh",1
"298","-ok",1
"299","-ou",4
"300","-out",2
"301","-ow",1
"302","-p",17
"303","-p'",7
"304","-p'.",1
"305","-p)",1
"306","-p.",9
"307","-P.",2
"308","-pa",10
"309","-Pa",1
"310","-pamoe",1
"311","-p·Òame;",1
"312","-pe",45
"313","-pÈ",6
"314","-per",29
"315","-pi",5
"316","-pla",1
"317","-pler",1
"318","-po",4
"319","-Po",1
"320","-qui",1
"321","-r",51
"322","-r'",1
"323","-R",2
"324","-R.",1
"325","-ra",7
"326","-Ra",1
"327","-rae",1
"328","-re",1
"329","-rÈÈdite",1
"330","-rer",30
"331","-ri",5
"332","-sa",14
"333","-se",17
"334","-ser",22
"335","-si",1
"336","-siquement",1
"337","-Sna",1
"338","-So",1
"339","-son",22
"340","-t",1
"341","-t'",2
"342","-t'y",2
"343","-tí",1
"344","-ta",9
"345","-ta2",1
"346","-tac",15
"347","-tah",1
"348","-tak",1
"349","-talement",4
"350","-tam",25
"351","-tapamoe",1
"352","-tar",4
"353","-tat",1
"354","-te",2
"355","-tÈ",4
"356","-tË",1
"357","-tÍ",4
"358","-te9",1
"359","-tel",5
"360","-ter",22
"361","-teu",2
"362","-ti",4
"363","-tir",1
"364","-toc",6
"365","-toi",133
"366","-tom",25
"367","-ton",1
"368","-top",1
"369","-tou",8
"370","-tour",3
"371","-tout",5
"372","-tra",1
"373","-tre",101
"374","-tu",1
"375","-tu?",4
"376","-tur",1
"377","-ty",1
"378","-U",1
"379","-u-al",4
"380","-un",6
"381","-up",6
"382","-up.",1
"383","-v",3
"384","-v'",1
"385","-v',",1
"386","-v'.",4
"387","-va",6
"388","-vant",1
"389","-ve",7
"390","-vÈ",1
"391","-vembre",1
"392","-ver",5
"393","-vi",3
"394","-vir",1
"395","-vo",5
"396","-voi",3
"397","-voir",1
"398","-W",1
"399","-W.",1
"400","-y-er",1
"401","-yo",6
"402","-z",1
"403","-Z.",1
"404","ñ",25
"405","ó",39
"406","ó.",2
"407","ósick!óI",1
"408","!",4838
"409","!'",1
"410","!!",35
"411","!!!",7
"412","!!!!!!!!",1
"413","!!1#$",1
"414","!*",2
"415","!.",279
"416","!;",10
"417","!?",2
"418","!?.",2
"419","!í",1
"420","!î",1
"421","!1",24
"422","!10",3
"423","!12",1
"424","!13",4
"425","!16",2
"426","!2",11
"427","!20",1
"428","!27",1
"429","!3",7
"430","!4",8
"431","!42",1
"432","!45",1
"433","!6",5
"434","!63",1
"435","!7",1
"436","!8",5
"437","!85",1
"438","!9",2
"439","""",7819
"440","#",242
"441","#$@@.",1
"442","#2",1
"443","#stozek",1
"444","$-Crew",3
"445","$-Croums",2
"446","$2200",1
"447","$580",2
"448","$ign",4
"449","$to",2
"450","$tos",2
"451","%",64
"452","&",117
"453","&<U+FEFF>",1
"454","(",17839
"455",")",17730
"456",")-pocher",1
"457",").",4
"458",")2",2
"459",")5",1
"460","*",30
"461","**",2
"462","***",12
"463","****",4
"464","*****",3
"465","********.",1
"466","****.",1
"467","***.",1
"468","*16",4
"469","*2",4
"470","*3",1
"471","*4",1
"472","*Back",1
"473","*bang*",1
"474","*BÈbÈ",1
"475","*BÈton",1
"476","*Biatch",1
"477","*bip",2
"478","*Bip",1
"479","*bip*",8
"480","*bip*.",2
"481","*Bip*.",1
"482","*bip*4",1
"483","*braa*",1
"484","*brah*",1
"485","*bruire",1
"486","*bruit",1
"487","*Bruit",1
"488","*ce",1
"489","*Chante",1
"490","*Chien",1
"491","*chut*",1
"492","*clic-clic*",1
"493","*combattent*",1
"494","*Comme",6
"495","*coup",1
"496","*crachat*",1
"497","*Crachat*",1
"498","*delay*}",1
"499","*DÈtonation",1
"500","*Dring",1
"501","*eh",1
"502","*fade",1
"503","*fhhh*",1
"504","*frapper",1
"505","*glitch*",2
"506","*grÈsillement",2
"507","*il",1
"508","*krkr*",1
"509","*krr*",1
"510","*kzzz*",1
"511","*laughing*",1
"512","*lu*",1
"513","*Nous*",1
"514","*On",2
"515","*pa",1
"516","*ploc*",1
"517","*pop*",1
"518","*prout*",1
"519","*PSG",1
"520","*PULL",1
"521","*Quoi",1
"522","*rires*5",1
"523","*sa*",1
"524","*Salut",1
"525","*sample",1
"526","*SaoulÈs*",1
"527","*Scraaatch*",1
"528","*scratch*",3
"529","*Scratch*.",1
"530","*scratches*",4
"531","*Scratches*",1
"532","*scratchs*",3
"533","*sifflement*",2
"534","*Sifflement*.",1
"535","*sonnerie",2
"536","*soufflements*",1
"537","*Tir",1
"538","*tous*",1
"539","*tsika*",6
"540","*tuj*",1
"541",",",160657
"542",",(",1
"543",",ah",1
"544",",ce",8
"545",",Chanel",1
"546",",dans",1
"547",",der",1
"548",",dimanc",1
"549",",du",1
"550",",el",1
"551",",elle",1
"552",",ettre",2
"553",",film",1
"554",",high",1
"555",",il",3
"556",",inceste",1
"557",",intrinsËque",1
"558",",l",1
"559",",l'ÈtÈ",1
"560",",le",4
"561",",ler",1
"562",",leur",1
"563",",Leur",1
"564",",maintener",1
"565",",mais",1
"566",",maÓtur",1
"567",",mari",2
"568",",meskine",1
"569",",moi",2
"570",",on",3
"571",",ouais",1
"572",",Ouais",1
"573",",oui",1
"574",",pencher",1
"575",",plus",1
"576",",proche",1
"577",",quí",1
"578",",rÈussir",1
"579",",son",1
"580",",ter",1
"581",",triple",1
"582",",un",1
"583",",vieux",1
"584",",voir",1
"585",",y",1
"586",",y'er",1
"587",",Z,A.",1
"588",".",248660
"589",".'",1
"590",".-ber",1
"591",". .",1
"592",".""",3
"593","..",114
"594","..!.",1
"595","..)",1
"596","...",1161
"597","...'",2
"598","...!",2
"599","...!?",1
"600","...""",2
"601","...*",1
"602","...*38",1
"603","....",1161
"604",".....",15
"605",".......",2
"606","....dan",1
"607","...?",3
"608","...}",1
"609","...1",13
"610","...11",2
"611","...12",1
"612","...15",1
"613","...19",1
"614","...1Embed",1
"615","...2",4
"616","...21",1
"617","...3",2
"618","...30",1
"619","...35",1
"620","...37",1
"621","...4",3
"622","...41",1
"623","...5",1
"624","...6",1
"625","...7",1
"626","...8",2
"627","...allÙ",1
"628","...Back",1
"629","...Bois",1
"630","...Áa",1
"631","...Ccord",1
"632","...ce",1
"633","...comme",1
"634","...dans",1
"635","...der",1
"636","...eh",1
"637","...Embed",2
"638","...en",2
"639","...hahaha",1
"640","...I",3
"641","...il",2
"642","...Ils",1
"643","...in",1
"644","...Jante",1
"645","...ke",1
"646","...kes.",3
"647","...le",1
"648","...let's",1
"649","...Lol",1
"650","...Mokless",1
"651","...Nique",1
"652","...Pa-Pa-Pa-Pa-Paco",8
"653","...Papi",1
"654","...pff",1
"655","...pour",1
"656","...que",1
"657","...qui",1
"658","...Scred",1
"659","...Shadow",1
"660","...si",1
"661","...Snip",1
"662","...son",1
"663","...T.O",1
"664","...ti-B",1
"665","...Tiens",1
"666","...Tu",1
"667","...Va",1
"668","...you",1
"669","..1",3
"670","..2",1
"671","..my",1
"672","..Si",1
"673",".?",1
"674",".?.",2
"675",".}",1
"676",".ª",1
"677",".0",2
"678",".2.7",1
"679",".22",4
"680",".25",1
"681",".357",8
"682",".38",16
"683",".43",1
"684",".44",9
"685",".45",3
"686",".5",1
"687",".8.6",1
"688",".9",2
"689",".9mm",1
"690",".E.",1
"691",".RAW",2
"692",".raw-r",1
"693",".RAW-Z",1
"694",".RAW-Z3",1
"695",".Z.E.R.",1
"696","/",114
"697","/3",1
"698","/4",3
"699","/R.",5
"700",":",3618
"701",":-",1
"702",":-arrÍtes",1
"703",":""",3
"704",":(",9
"705",":.",135
"706",":93",1
"707",":ChÙmage",1
"708",";",300
"709",";.",40
"710","?",9127
"711","?!",1
"712","?(",1
"713","?*14",1
"714","?.",105
"715","??",20
"716","???",4
"717","?????",1
"718","?????????????????",1
"719","?ª",1
"720","?1",7
"721","?12",3
"722","?13",3
"723","?15",2
"724","?1Embed",1
"725","?2",5
"726","?24",1
"727","?28",1
"728","?3",2
"729","?32",1
"730","?4",2
"731","?43",1
"732","?46",1
"733","?6",1
"734","?73",1
"735","?81",1
"736","?Embed",1
"737","?polo?(",1
"738","?se",1
"739","[",5
"740","]",7
"741","_Ben-J",1
"742","_ben-je",1
"743","_Dans",1
"744","_De",1
"745","_eh",1
"746","_Fresh",1
"747","_il",2
"748","_Je",1
"749","_Ky-Ja",1
"750","_La",1
"751","_le",2
"752","_Le",1
"753","_maintenant",1
"754","_Merci",1
"755","_par",1
"756","_Partager",1
"757","_Propulse",1
"758","_qui",2
"759","_Regarde",1
"760","_y",1
"761","`",1
"762","{",42
"763","{-Dis-moi",1
"764","{Verse",1
"765","{What",1
"766","}",1
"767","}7",1
"768","~!",1
"769","°",34
"770","°""",1
"771","°Ahora",4
"772","°¡ndal",1
"773","°¡ndale",1
"774","°brr",1
"775","°brra!",1
"776","°callater",1
"777","°Da-ddy",2
"778","°Daddy",4
"779","°dale!",1
"780","°Dangerous",8
"781","°DÌmelo",1
"782","°Doble",1
"783","°don!",1
"784","°duro",1
"785","°Duro",4
"786","°duro!",3
"787","°El",1
"788","°EmpezÛ",6
"789","°Ey",1
"790","°farru!",3
"791","°French",1
"792","°fui-fuimos!",1
"793","°Fuimos",1
"794","°hey",3
"795","°Hey",6
"796","°Hola",1
"797","°La",1
"798","°Legacy!.",1
"799","°Luny",1
"800","°Mambo",2
"801","°Nely",1
"802","°Nesty",1
"803","°No",1
"804","°Ozuna",2
"805","°ozuna!",1
"806","°Plah",1
"807","°plah-plah-plah-plah-plah-plah!",1
"808","°Prende",1
"809","°Puerto",1
"810","°QuÈ-quÈ",1
"811","°Su-sube",1
"812","°sube!",2
"813","°suelta!",10
"814","°SuÈltalo",1
"815","°Sumba",8
"816","°sumba!",6
"817","°Tainy",9
"818","°To",3
"819","°uah!",1
"820","°uh!",3
"821","°Vamos",1
"822","°Wisin",2
"823","°Woof",1
"824","°woof!",1
"825","°Wuh",3
"826","°Y",1
"827","°Yandel",23
"828","°yandel!",11
"829","°Yeah",1
"830","°Yeh",1
"831","¥",2
"832","¥,",1
"833","¥a",1
"834","¥abreuver",1
"835","¥acte",1
"836","¥affaire",7
"837","¥Afrique",6
"838","¥ai",3
"839","¥aime",1
"840","¥aimentir",1
"841","¥air",2
"842","¥amour",3
"843","¥ancien",1
"844","¥ange",1
"845","¥appuie",1
"846","¥argent",1
"847","¥arger",1
"848","¥arrivoir",1
"849","¥asseyer",1
"850","¥atelier",1
"851","¥au",2
"852","¥autre",1
"853","¥avoir",4
"854","¥el",1
"855","¥ÈlËver",1
"856","¥enfer",1
"857","¥entend",1
"858","¥entre",1
"859","¥Èquitation",1
"860","¥er",1
"861","¥espoir",2
"862","¥esprit",1
"863","¥est",27
"864","¥…tat",1
"865","¥Èter",2
"866","¥Ítre",3
"867","¥faire",1
"868","¥hiver",1
"869","¥homme",2
"870","¥honneur",1
"871","¥humble",1
"872","¥il",12
"873","¥intolÈrance",1
"874","¥journal",3
"875","¥le",3
"876","¥ler",1
"877","¥meuf",1
"878","¥offr",1
"879","¥oiseau",2
"880","¥on",8
"881","¥oser",1
"882","¥o˘",1
"883","¥oublir",1
"884","¥pas",1
"885","¥problËme",1
"886","¥tit",1
"887","¥un",10
"888","¥une",2
"889","¥y",7
"890","ø",18
"891","øcÛmo",1
"892","øCÛmo",1
"893","øcÛmo?",1
"894","øCu·ndo",1
"895","øDe",4
"896","øDÛnd",1
"897","øDÛnde",17
"898","øDÛndre",1
"899","øHasta",1
"900","øHola",1
"901","øoÌste",1
"902","øPor",9
"903","øQue",2
"904","øquÈ",6
"905","øQuÈ",16
"906","øquÈ?",1
"907","øquer",10
"908","øQuer",8
"909","øquiÈn",6
"910","øQuiÈn",15
"911","øSer·",3
"912","øSer‡",1
"913","øTe",3
"914","øT˙",3
"915","øVolver·s",1
"916","øy",13
"917","øY",1
"918","ë",30
"919","ëí",2
"920","ëactu",1
"921","ëcaux",1
"922","ëem",1
"923","ësky",2
"924","ëstik",1
"925","ëwogle",1
"926","í",331
"927","í-vo",1
"928","í.",1
"929","íAlors",1
"930","íavoir",1
"931","ísauver",1
"932","Ç",5
"933","ì",25
"934","ìA",1
"935","ìce",1
"936","ìHe",1
"937","ìIím",1
"938","ìil",2
"939","ìl",1
"940","ìla",1
"941","ìother",1
"942","ìyeah",1
"943","î",30
"944","Ñ",1
"945","Ä",12
"946","+",21
"947","+12",9
"948","+123",1
"949","+3",1
"950","+3.5.7e",1
"951","+5",2
"952","+8",1
"953","+99",1
"954","+Ah",1
"955","<",2
"956","<U+0080><U+0099>appel",1
"957","<U+0080><U+0099>autre",1
"958","<U+0080><U+0099>en",1
"959","<U+0080><U+0099>est",2
"960","<U+0080><U+0099>IsraÎl",1
"961","<U+0080><U+0099>organiser",1
"962","<U+0080><U+0099>SOS",1
"963","<U+0080><U+0099>une",2
"964","<U+0085>.",1
"965","<U+0085>man",1
"966","<U+0085>man.",1
"967","<U+0417><U+0434><U+0440><U+0430><U+0432><U+0441><U+0442><U+0432><U+0443><U+0439><U+0442><U+0435>",1
"968","<U+041E><U+0434><U+0438><U+043D>",1
"969","<U+041E><U+0441><U+0442><U+043E><U+0440><U+043E><U+0436><U+043D><U+043E>",6
"970","<U+0422><U+0435><U+043D><U+044C>",4
"971","<U+0434><U+0432><U+0430>",1
"972","<U+0435>",1
"973","<U+0435>l",2
"974","<U+0435>lle",2
"975","<U+0435>ller",1
"976","<U+0435>n",8
"977","<U+0435>st",7
"978","<U+0435>t",4
"979","<U+043A><U+0443><U+0434><U+0430>",4
"980","<U+043B><U+0435><U+0434><U+044F><U+043D><U+043E><U+0433><U+043E>",4
"981","<U+043C><U+0430><U+043D><U+0438><U+0442>",4
"982","<U+043C><U+0435><U+043D><U+044F>",4
"983","<U+043E><U+0433><U+043D><U+044F>",4
"984","<U+0442><U+0440><U+0438>",1
"985","<U+0447><U+0435><U+0442><U+044B><U+0440><U+0435>.",1
"986","<U+1E25>chouma",1
"987","<U+200B><U+200B>:",1
"988","<U+200B><U+200B>akhenaton}",1
"989","<U+200B><U+200B>Akhenaton}<U+200B><U+200B>",8
"990","<U+200B><U+200B>akhenaton}<U+200B><U+200B>:",2
"991","<U+200B><U+200B>Akhenaton}<U+200B><U+200B>:.",1
"992","<U+200B><U+200B>Interlude}<U+200B><U+200B>",1
"993","<U+200B><U+200B>outro}<U+200B><U+200B>:",1
"994","<U+200B><U+200B>Refrain}<U+200B><U+200B>",2
"995","<U+200B><U+200B>Shurik'",9
"996","<U+200B><U+200B>Shurik'n}<U+200B><U+200B>",1
"997","<U+200B><U+200B>Shurike",1
"998","<U+200B>Certain",1
"999","<U+200E>""",1
"1000","<U+5728><U+7A7A><U+6D1E><U+623F><U+95F4><U+6D41><U+7740><U+773C><U+6CEA><U+7D27><U+7D27><U+5173><U+4E0A><U+95E8>",2
"1001","<U+5F53><U+6211><U+5DF2><U+7136><U+4E0D><U+7528><U+518D><U+63A9><U+9970><U+4F24><U+75D5>",1
"1002","<U+5F53><U+6211><U+5DF2><U+7136><U+4E0D><U+7528><U+518D><U+63A9><U+9970><U+4F24><U+75D5>.",7
"1003","<U+8EB2>",2
"1004","<U+8EB2><U+5728><U+7A7A><U+6D1E><U+623F><U+95F4><U+6D41><U+7740><U+773C><U+6CEA><U+7D27><U+7D27><U+5173><U+4E0A><U+95E8>",5
"1005","<U+8EB2><U+5728><U+7A7A><U+6D1E><U+623F><U+95F4><U+6D41><U+7740><U+773C><U+6CEA><U+7D27><U+7D27><U+5173><U+4E0A><U+95E8>12",1
"1006","=",2
"1007","´",389
"1008","´Al",1
"1009","´Dinde",1
"1010","´je",1
"1011","´le",1
"1012","´starsky",1
"1013","ª",389
"1014","ª1",1
"1015","◊",6
"1016","◊2",14
"1017","◊3",1
"1018","◊4",1
"1019","◊6",1
"1020","◊8",1
"1021","∞",21
"1022","Ö",98
"1023","Ö.",221
"1024","Ö...",1
"1025","Ö?",1
"1026","ÖÖ",1
"1027","Ö1",1
"1028","Öil",1
"1029","ùùåil",1
"1030","Å¿",2
"1031","0",37
"1032","0-0",1
"1033","0-1",1
"1034","0-4",2
"1035","0-6",1
"1036","0-9",1
"1037","0 666",1
"1038","0.1",5
"1039","0.4",6
"1040","0.7",2
"1041","0.8",2
"1042","0.9",12
"1043","00",2
"1044","007-7",1
"1045","01",3
"1046","01-02",2
"1047","02",3
"1048","03",2
"1049","03-04",2
"1050","04",3
"1051","04000",1
"1052","05-06",2
"1053","06",13
"1054","06-93",1
"1055","06 08 86 55",4
"1056","06 43 56 57",4
"1057","07",5
"1058","07-08",1
"1059","09",3
"1060","09-10",1
"1061","º",1
