"","lemma","n","rank","sum"
"1","''Baw",1,58066.5,1
"2","'-arna",1,58066.5,2
"3","'-BËg'",1,58066.5,3
"4","'-bi'",1,58066.5,4
"5","'-Biff'",1,58066.5,5
"6","'-co'",1,58066.5,6
"7","'-coe",1,58066.5,7
"8","'-Disiz",1,58066.5,8
"9","'-f",1,58066.5,9
"10","'-five",1,58066.5,10
"11","'-ien",1,58066.5,11
"12","'-lemo3",1,58066.5,12
"13","'-monÈ-moner",1,58066.5,13
"14","'-moue",1,58066.5,14
"15","'-oph",1,58066.5,15
"16","'-po",1,58066.5,16
"17","'-ro",1,58066.5,17
"18","'-skun",1,58066.5,18
"19","'-tch",1,58066.5,19
"20","'-tche",1,58066.5,20
"21","'-ThaÔ",1,58066.5,21
"22","'-to",1,58066.5,22
"23","'18",1,58066.5,23
"24","'B.",1,58066.5,24
"25","'calader",1,58066.5,25
"26","'chut",1,58066.5,26
"27","'compense",1,58066.5,27
"28","'constance",1,58066.5,28
"29","'couvert",1,58066.5,29
"30","'croyable",1,58066.5,30
"31","'de",1,58066.5,31
"32","'e",1,58066.5,32
"33","'E",1,58066.5,33
"34","'il",1,58066.5,34
"35","'j'Ítre",1,58066.5,35
"36","'j'se",1,58066.5,36
"37","'Justement",1,58066.5,37
"38","'l",1,58066.5,38
"39","'lang",1,58066.5,39
"40","'linir",1,58066.5,40
"41","'nant",1,58066.5,41
"42","'neg",1,58066.5,42
"43","'on",1,58066.5,43
"44","'rure",1,58066.5,44
"45","'s:",1,58066.5,45
"46","'se",1,58066.5,46
"47","'sieur",1,58066.5,47
"48","'sommer",1,58066.5,48
"49","'sser",1,58066.5,49
"50","'ssure",1,58066.5,50
"51","'ta",1,58066.5,51
"52","'tate",1,58066.5,52
"53","'Til",1,58066.5,53
"54","->",1,58066.5,54
"55","-22h",1,58066.5,55
"56","-3",1,58066.5,56
"57","-7",1,58066.5,57
"58","-¿",1,58066.5,58
"59","-a-a",1,58066.5,59
"60","-a-a-a-allÙ",1,58066.5,60
"61","-a-a-allÙ",1,58066.5,61
"62","-a-a-allÙ.",1,58066.5,62
"63","-A-D-M-A-X",1,58066.5,63
"64","-a-r",1,58066.5,64
"65","-A-T",1,58066.5,65
"66","-ah.",1,58066.5,66
"67","-An",1,58066.5,67
"68","-at'",1,58066.5,68
"69","-av",1,58066.5,69
